id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
16S_rRNA::Veillonella-dispar-ATCC-17748_Node_2:4359-5919(-)_V3_V4_388_739_includelonghmm	7	4	352	1	100	100%
16S_rRNA::Veillonella-dispar-ATCC-17748_Node_2:644680-646240(+)_V3_V4_388_739_includelonghmm	7	4	352	0	100.00%	100%
16S_rRNA::Veillonella-dispar-ATCC-17748_Node_1:556967-558527(+)_V3_V4_388_739_includelonghmm	7	4	352	0	100.00%	100%
16S_rRNA::Veilonella-sp-3-1-44_Node_11:157-1719(+)_V3_V4_388_739_includelonghmm	7	4	352	0	99.43%	100%
16S_rRNA::Veilonella-sp-6-1-27_Node_5:40-1600(+)_V3_V4_388_739_includelonghmm	8	1	352	1	100	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:140643-142170(+)_V3_V4_365_715_includelonghmm	9	9	351	1	100	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:957997-959524(+)_V3_V4_365_715_includelonghmm	9	9	351	0	99.15%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:505411-506938(+)_V3_V4_365_715_includelonghmm	9	9	351	0	100.00%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:1755156-1756683(-)_V3_V4_365_715_includelonghmm	9	9	351	0	100.00%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:147102-148629(+)_V3_V4_365_715_includelonghmm	9	9	351	0	100.00%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:2417682-2419209(-)_V3_V4_365_715_includelonghmm	9	9	351	0	100.00%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:2429485-2431012(-)_V3_V4_365_715_includelonghmm	9	9	351	0	100.00%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:2422803-2424331(-)_V3_V4_366_716_includelonghmm	9	9	351	0	100.00%	100%
16S_rRNA::Catenibacterium-mitsuokai-MAF-DSM-15897_Node_0:664982-666506(+)_V3_V4_365_714_includelonghmm	9	9	350	0	100.00%	99%
16S_rRNA::Clostridium-spiroforme-DSM-1552_Node_9:220943-222333(+)_V3_V4_361_711_includelonghmm	10	2	351	1	100	100%
16S_rRNA::Clostridium-spiroforme-DSM-1552_Node_2:103264-104568(+)_V3_V4_361_711_includelonghmm	10	2	351	0	99.72%	100%
16S_rRNA::Eubacterium-biforme-DSM-3989_Node_43:3663-5200(-)_V3_V4_375_725_includelonghmm	11	1	351	1	100	100%
16S_rRNA::Eubacterium-dolichum-DSM-3991_Node_1:385281-386818(+)_V3_V4_380_730_includelonghmm	12	2	351	1	100	100%
16S_rRNA::Eubacterium-dolichum-DSM-3991_Node_5:183992-185529(-)_V3_V4_380_730_includelonghmm	12	2	351	0	100.00%	100%
16S_rRNA::Holdemania-filiformis-DSM-12042_Node_21:3363-4627(-)_V3_V4_103_453_includelonghmm	13	1	351	1	100	100%
16S_rRNA::Bacteroides-coprophilus-DSM-18228_Node_70:3530-5058(-)_V3_V4_374_721_includelonghmm	14	1	348	1	100	100%
16S_rRNA::Bacteroides-stercoris-ATCC-43183_Node_12:57-1559(-)_V3_V4_373_720_includelonghmm	15	2	348	1	100	100%
16S_rRNA::Bacteroides-stercoris-ATCC-43183_Node_1:100205-101728(-)_V3_V4_373_719_includelonghmm	15	2	347	0	99.42%	99%
16S_rRNA::Alistipes-putredinis-DSM-17216_Node_1:223671-225195(+)_V3_V4_372_718_includelonghmm	16	2	347	1	100	100%
16S_rRNA::Alistipes-putredinis-DSM-17216_Node_2:619816-621340(+)_V3_V4_372_718_includelonghmm	16	2	347	0	100.00%	100%
16S_rRNA::Bacteroides-caccae-ATCC-43185_Node_13:183756-185281(+)_V3_V4_375_721_includelonghmm	17	5	347	1	100	100%
16S_rRNA::Bacteroides-caccae-ATCC-43185_Node_16:253411-254936(+)_V3_V4_375_721_includelonghmm	17	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-caccae-ATCC-43185_Node_20:328069-329594(+)_V3_V4_375_721_includelonghmm	17	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-caccae-ATCC-43185_Node_20:425905-427430(+)_V3_V4_375_721_includelonghmm	17	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-caccae-ATCC-43185_Node_9:41375-42900(+)_V3_V4_375_721_includelonghmm	17	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-cellulosilyticus-DSM-14838_Node_61:6325-7844(-)_V3_V4_369_715_includelonghmm	18	1	347	1	100	100%
16S_rRNA::Bacteroides-coprocola-DSM-17136_Node_21:119646-121170(+)_V3_V4_374_720_includelonghmm	19	4	347	1	100	100%
16S_rRNA::Bacteroides-coprocola-DSM-17136_Node_46:88540-90064(+)_V3_V4_374_720_includelonghmm	19	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-coprocola-DSM-17136_Node_59:212053-213577(-)_V3_V4_374_720_includelonghmm	19	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-coprocola-DSM-17136_Node_14:1-1267(-)_V3_V4_374_720_includelonghmm	19	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-dorei-5-1-36_Node_2:1506579-1508107(+)_V3_V4_376_722_includelonghmm	20	3	347	1	100	100%
16S_rRNA::Bacteroides-dorei-DSM-17855_Node_28:3552-5080(-)_V3_V4_376_722_includelonghmm	20	3	347	0	100.00%	100%
16S_rRNA::Bacteroides-sp-9-1-42FAA_Node_16:659531-661060(-)_V3_V4_376_722_includelonghmm	20	3	347	0	100.00%	100%
16S_rRNA::Bacteroides-eggerthii-DSM-20697_Node_16:3570-5093(-)_V3_V4_373_719_includelonghmm	21	1	347	1	100	100%
16S_rRNA::Bacteroides-finegoldii-DSM-17565_Node_9:25425-26714(+)_V3_V4_139_485_includelonghmm	22	1	347	1	100	100%
16S_rRNA::Bacteroides-fragilis-3-1-12_Node_18:3625-4941(-)_V3_V4_164_510_includelonghmm	23	1	347	1	100	100%
16S_rRNA::Bacteroides-intestinalis-DSM-17393_Node_0:3336133-3337652(-)_V3_V4_369_715_includelonghmm	24	4	347	1	100	100%
16S_rRNA::Bacteroides-intestinalis-DSM-17393_Node_1:1225071-1226590(+)_V3_V4_369_715_includelonghmm	24	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-intestinalis-DSM-17393_Node_0:1460778-1462297(-)_V3_V4_369_715_includelonghmm	24	4	347	0	99.71%	100%
16S_rRNA::Bacteroides-intestinalis-DSM-17393_Node_2:53-1572(-)_V3_V4_369_715_includelonghmm	24	4	347	0	99.71%	100%
16S_rRNA::Bacteroides-ovatus-ATCC-8483_Node_29:77418-78943(+)_V3_V4_375_721_includelonghmm	25	2	347	1	100	100%
16S_rRNA::Bacteroides-ovatus-ATCC-8483_Node_28:138854-140379(+)_V3_V4_375_721_includelonghmm	25	2	347	0	100.00%	100%
16S_rRNA::Bacteroides-ovatus-ATCC-8483_Node_4:45732-47257(+)_V3_V4_375_721_includelonghmm	26	2	347	1	100	100%
16S_rRNA::Bacteroides-sp-2-1-22_Node_16:18-1543(-)_V3_V4_375_721_includelonghmm	26	2	347	0	99.42%	100%
16S_rRNA::Bacteroides-plebeius-DSM-17135_Node_5:758952-760260(+)_V3_V4_374_720_includelonghmm	27	2	347	1	100	100%
16S_rRNA::Bacteroides-plebeius-DSM-17135_Node_12:10-1121(-)_V3_V4_374_720_includelonghmm	27	2	347	0	100.00%	100%
16S_rRNA::Bacteroides-sp-1-1-6_Node_1:27541-29066(+)_V3_V4_375_721_includelonghmm	28	5	347	1	100	100%
16S_rRNA::Bacteroides-thetaiotaomicron-VPI-5482_Node_0:3034662-3036187(-)_V3_V4_375_721_includelonghmm	28	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-thetaiotaomicron-VPI-5482_Node_0:3328913-3330438(-)_V3_V4_375_721_includelonghmm	28	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-thetaiotaomicron-VPI-5482_Node_0:4983431-4984957(+)_V3_V4_375_721_includelonghmm	28	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-thetaiotaomicron-VPI-5482_Node_0:2340657-2342183(-)_V3_V4_375_721_includelonghmm	28	5	347	0	100.00%	100%
16S_rRNA::Bacteroides-sp-3-1-19_Node_23:328-1849(+)_V3_V4_368_714_includelonghmm	29	7	347	1	100	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:416011-417532(+)_V3_V4_368_714_includelonghmm	29	7	347	0	100.00%	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:2138934-2140455(-)_V3_V4_368_714_includelonghmm	29	7	347	0	100.00%	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:2872495-2874016(-)_V3_V4_368_714_includelonghmm	29	7	347	0	100.00%	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:142372-143895(+)_V3_V4_370_716_includelonghmm	29	7	347	0	100.00%	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:4787740-4789263(+)_V3_V4_370_716_includelonghmm	29	7	347	0	100.00%	100%
16S_rRNA::Parabacteroides-sp-D13_Node_20:12-1533(+)_V3_V4_368_714_includelonghmm	29	7	347	0	100.00%	100%
16S_rRNA::Bacteroides-stercoris-ATCC-43183_Node_11:23-1408(-)_V3_V4_373_719_includelonghmm	30	1	347	1	100	100%
16S_rRNA::Bacteroides-thetaiotaomicron-VPI-5482_Node_0:1630132-1631653(-)_V3_V4_371_717_includelonghmm	31	1	347	1	100	100%
16S_rRNA::Bacteroides-uniformis-ATCC-8492_Node_11:455-1978(-)_V3_V4_373_719_includelonghmm	32	4	347	1	100	100%
16S_rRNA::Bacteroides-uniformis-ATCC-8492_Node_18:40880-42403(+)_V3_V4_373_719_includelonghmm	32	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-uniformis-ATCC-8492_Node_4:127846-129369(-)_V3_V4_373_719_includelonghmm	32	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-uniformis-ATCC-8492_Node_0:75-1598(-)_V3_V4_373_719_includelonghmm	32	4	347	0	100.00%	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:4430455-4431979(-)_V3_V4_374_720_includelonghmm	33	6	347	1	100	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:2587726-2589250(+)_V3_V4_374_720_includelonghmm	33	6	347	0	99.14%	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:2095447-2096972(+)_V3_V4_374_720_includelonghmm	33	6	347	0	99.42%	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:346721-348245(-)_V3_V4_374_720_includelonghmm	33	6	347	0	99.42%	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:647820-649344(-)_V3_V4_374_720_includelonghmm	33	6	347	0	99.42%	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:2183539-2185063(+)_V3_V4_374_720_includelonghmm	33	6	347	0	99.42%	100%
16S_rRNA::Bacteroides-vulgatus-ATCC-8482_Node_0:4743118-4744642(-)_V3_V4_374_720_includelonghmm	34	1	347	1	100	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:3253597-3255120(-)_V3_V4_370_716_includelonghmm	35	2	347	1	100	100%
16S_rRNA::Parabacteroides-distasonis-ATCC-8503_Node_0:3411868-3413391(-)_V3_V4_370_716_includelonghmm	35	2	347	0	100.00%	100%
16S_rRNA::Parabacteroides-johnsonii-DSM-18315_Node_103:133-1659(+)_V3_V4_374_720_includelonghmm	36	1	347	1	100	100%
16S_rRNA::Parabacteroides-merdae-ATCC-43184_Node_6:416326-417853(-)_V3_V4_374_720_includelonghmm	37	2	347	1	100	100%
16S_rRNA::Parabacteroides-merdae-ATCC-43184_Node_81:3041-4568(-)_V3_V4_374_720_includelonghmm	37	2	347	0	100.00%	100%
16S_rRNA::Prevotella-buccae-D17_Node_83:8-1538(+)_V3_V4_374_720_includelonghmm	38	1	347	1	100	100%
16S_rRNA::Prevotella-copri-DSM-18205_Node_23:262672-264201(-)_V3_V4_376_722_includelonghmm	39	1	347	1	100	100%
16S_rRNA::Prevotella-copri-DSM-18205_Node_24:1917-3446(-)_V3_V4_376_722_includelonghmm	40	2	347	1	100	100%
16S_rRNA::Prevotella-copri-DSM-18205_Node_22:165006-166227(-)_V3_V4_376_722_includelonghmm	40	2	347	0	99.71%	100%
16S_rRNA::Bifidobacterium-breve-DSM-20213_Node_0:2178318-2179846(-)_V3_V4_367_703_includelonghmm	41	2	337	1	100	100%
16S_rRNA::Bifidobacterium-breve-DSM-20213_Node_0:1560057-1561585(-)_V3_V4_367_703_includelonghmm	41	2	337	0	100.00%	100%
16S_rRNA::Bacteroides-sp-2-1-16_Node_8:0-1142(+)_V3_V4_1_336_includelonghmm	42	1	336	1	100	100%
16S_rRNA::Bifidobacterium-adolescentis-L2-32_Node_5:58519-60043(-)_V3_V4_367_702_includelonghmm	43	2	336	1	100	100%
16S_rRNA::Bifidobacterium-adolescentis-L2-32_Node_0:519853-521377(-)_V3_V4_367_702_includelonghmm	43	2	336	0	100.00%	100%
16S_rRNA::Bifidobacterium-catenulatum-DSM-16992_Node_0:1592401-1593927(-)_V3_V4_368_701_includelonghmm	44	11	334	1	100	100%
16S_rRNA::Bifidobacterium-catenulatum-DSM-16992_Node_0:1873300-1874826(-)_V3_V4_368_701_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-catenulatum-DSM-16992_Node_0:1969696-1971222(-)_V3_V4_368_701_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-catenulatum-DSM-16992_Node_0:1995970-1997496(-)_V3_V4_368_701_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-catenulatum-DSM-16992_Node_0:2046575-2048101(-)_V3_V4_368_701_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-pseudocatenulatum-DSM-20438_Node_0:1706897-1708423(-)_V3_V4_369_702_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-pseudocatenulatum-DSM-20438_Node_0:2040445-2041971(-)_V3_V4_369_702_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-pseudocatenulatum-DSM-20438_Node_0:2159096-2160622(-)_V3_V4_369_702_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-pseudocatenulatum-DSM-20438_Node_0:2233486-2235012(-)_V3_V4_369_702_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-pseudocatenulatum-DSM-20438_Node_0:2257874-2259400(-)_V3_V4_369_702_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Bifidobacterium-pseudocatenulatum-DSM-20438_Node_0:2282262-2283788(-)_V3_V4_369_702_includelonghmm	44	11	334	0	100.00%	100%
16S_rRNA::Akkermansia-muciniphila-ATCC-BAA-835_Node_0:989911-991420(+)_V3_V4_356_688_includelonghmm	45	3	333	1	100	100%
16S_rRNA::Akkermansia-muciniphila-ATCC-BAA-835_Node_0:1459756-1461265(+)_V3_V4_356_688_includelonghmm	45	3	333	0	100.00%	100%
16S_rRNA::Akkermansia-muciniphila-ATCC-BAA-835_Node_0:320472-321981(-)_V3_V4_356_688_includelonghmm	45	3	333	0	100.00%	100%
16S_rRNA::Olsenella-uli-DSM-7084_Node_0:159961-161472(+)_V3_V4_365_697_includelonghmm	46	1	333	1	100	100%
16S_rRNA::Ethanoligens-harbinense-YUAN-3_Node_0:451598-453099(+)_V3_V4_358_686_includelonghmm	47	3	329	1	100	100%
16S_rRNA::Ethanoligens-harbinense-YUAN-3_Node_0:2304231-2305732(-)_V3_V4_358_686_includelonghmm	47	3	329	0	100.00%	100%
16S_rRNA::Ethanoligens-harbinense-YUAN-3_Node_0:2984431-2985932(-)_V3_V4_358_686_includelonghmm	47	3	329	0	100.00%	100%
16S_rRNA::Roseburia-intestinalis-L1-82_Node_87:92667-93743(-)_V3_V4_382_710_includelonghmm	48	1	329	1	100	100%
16S_rRNA::Anaerostipes-caccae-DSM-14662_Node_23:6947-8477(+)_V3_V4_384_711_includelonghmm	49	4	328	1	100	100%
16S_rRNA::Anaerostipes-caccae-DSM-14662_Node_19:4051-5581(-)_V3_V4_384_711_includelonghmm	49	4	328	0	100.00%	100%
16S_rRNA::Anaerostipes-caccae-DSM-14662_Node_25:15597-17128(+)_V3_V4_385_712_includelonghmm	49	4	328	0	100.00%	100%
16S_rRNA::Anaerostipes-caccae-DSM-14662_Node_23:604-2046(+)_V3_V4_384_711_includelonghmm	49	4	328	0	100.00%	100%
16S_rRNA::Collinsella-aerofaciens-ATCC-25986_Node_13:314-1816(+)_V3_V4_361_688_includelonghmm	50	5	328	1	100	100%
16S_rRNA::Collinsella-aerofaciens-ATCC-25986_Node_15:3228-4730(+)_V3_V4_361_688_includelonghmm	50	5	328	0	100.00%	100%
16S_rRNA::Collinsella-aerofaciens-ATCC-25986_Node_9:40999-42501(+)_V3_V4_361_688_includelonghmm	50	5	328	0	100.00%	100%
16S_rRNA::Collinsella-aerofaciens-ATCC-25986_Node_15:139894-141397(+)_V3_V4_361_688_includelonghmm	50	5	328	0	100.00%	100%
16S_rRNA::Collinsella-aerofaciens-ATCC-25986_Node_20:65-1131(-)_V3_V4_361_688_includelonghmm	50	5	328	0	100.00%	100%
16S_rRNA::Ruminococcus-bromii-ATCC-27255_Node_22:189-1716(-)_V3_V4_385_712_includelonghmm	51	2	328	1	100	100%
16S_rRNA::Ruminococcus-bromii-ATCC-27255_Node_49:3751-5278(-)_V3_V4_385_712_includelonghmm	51	2	328	0	100.00%	100%
16S_rRNA::Slackia-heliotrinireducens-DSM-20476_Node_0:971125-972635(+)_V3_V4_366_693_includelonghmm	52	2	328	1	100	100%
16S_rRNA::Slackia-heliotrinireducens-DSM-20476_Node_0:190035-191545(+)_V3_V4_366_693_includelonghmm	52	2	328	0	99.39%	100%
16S_rRNA::Anaerofustis-stercorihominis-DSM-17244_Node_0:970301-971818(+)_V3_V4_383_709_includelonghmm	53	2	327	1	100	100%
16S_rRNA::Anaerofustis-stercorihominis-DSM-17244_Node_4:23025-24542(+)_V3_V4_383_709_includelonghmm	53	2	327	0	100.00%	100%
16S_rRNA::Bacteroides-pectinophilus-ATCC-43243_Node_7:1342946-1344477(+)_V3_V4_384_710_includelonghmm	54	2	327	1	100	100%
16S_rRNA::Bacteroides-pectinophilus-ATCC-43243_Node_7:60272-61803(+)_V3_V4_384_710_includelonghmm	54	2	327	0	100.00%	100%
16S_rRNA::Blautia-hansenii-DSM-20583_Node_4:1-1161(-)_V3_V4_383_709_includelonghmm	55	1	327	1	100	100%
16S_rRNA::Blautia-hydrogenotrophica-DSM-10507_Node_16:261-1791(-)_V3_V4_384_710_includelonghmm	56	1	327	1	100	100%
16S_rRNA::Bryantella-formatexigens-DSM-14469_Node_40:818-2347(-)_V3_V4_384_710_includelonghmm	57	1	327	1	100	100%
16S_rRNA::Butyrivibrio-crossotus-DSM-2876_Node_20:3994-5514(-)_V3_V4_375_701_includelonghmm	58	1	327	1	100	100%
16S_rRNA::Clostridium-asparagiforme-DSM-15981_Node_84:2775-4302(-)_V3_V4_383_709_includelonghmm	59	1	327	1	100	100%
16S_rRNA::Clostridium-bolteae-ATCC-BAA-613_Node_32:451739-453267(+)_V3_V4_380_706_includelonghmm	60	1	327	1	100	100%
16S_rRNA::Clostridium-hathewayi-DSM-13479-MAF-NJ35_Node_0:16961-18489(+)_V3_V4_382_708_includelonghmm	61	5	327	1	100	100%
16S_rRNA::Clostridium-hathewayi-DSM-13479-MAF-NJ35_Node_0:5488431-5489959(-)_V3_V4_382_708_includelonghmm	61	5	327	0	100.00%	100%
16S_rRNA::Clostridium-hathewayi-DSM-13479-MAF-NJ35_Node_0:1004055-1005583(+)_V3_V4_382_708_includelonghmm	61	5	327	0	100.00%	100%
16S_rRNA::Clostridium-hathewayi-DSM-13479-MAF-NJ35_Node_0:388642-390170(+)_V3_V4_382_708_includelonghmm	61	5	327	0	100.00%	100%
16S_rRNA::Clostridium-hathewayi-DSM-13479-MAF-NJ35_Node_0:2937350-2938878(+)_V3_V4_382_708_includelonghmm	61	5	327	0	100.00%	100%
16S_rRNA::Clostridium-leptum-DSM-753_Node_3:318845-320393(+)_V3_V4_406_732_includelonghmm	62	2	327	1	100	100%
16S_rRNA::Clostridium-leptum-DSM-753_Node_5:176999-178547(+)_V3_V4_406_732_includelonghmm	62	2	327	0	100.00%	100%
16S_rRNA::Clostridium-methylpentosum-DSM-5476_Node_13:3511-5036(-)_V3_V4_385_711_includelonghmm	63	1	327	1	100	100%
16S_rRNA::Clostridium-saccharolyticum-WM1_Node_0:3681369-3682897(-)_V3_V4_383_709_includelonghmm	64	6	327	1	100	100%
16S_rRNA::Clostridium-saccharolyticum-WM1_Node_0:18562-20090(+)_V3_V4_383_709_includelonghmm	64	6	327	0	100.00%	100%
16S_rRNA::Clostridium-saccharolyticum-WM1_Node_0:704320-705848(+)_V3_V4_383_709_includelonghmm	64	6	327	0	100.00%	100%
16S_rRNA::Clostridium-saccharolyticum-WM1_Node_0:795036-796564(+)_V3_V4_383_709_includelonghmm	64	6	327	0	100.00%	100%
16S_rRNA::Clostridium-saccharolyticum-WM1_Node_0:397544-399072(+)_V3_V4_383_709_includelonghmm	64	6	327	0	100.00%	100%
16S_rRNA::Clostridium-saccharolyticum-WM1_Node_0:196656-198184(+)_V3_V4_383_709_includelonghmm	64	6	327	0	100.00%	100%
16S_rRNA::Clostridium-scindens-ATCC-35704_Node_33:198-1730(+)_V3_V4_385_711_includelonghmm	65	1	327	1	100	100%
16S_rRNA::Clostridium-sp-L2-50_Node_18:329495-331012(-)_V3_V4_373_699_includelonghmm	66	3	327	1	100	100%
16S_rRNA::Clostridium-sp-L2-50_Node_17:16-1317(+)_V3_V4_157_483_includelonghmm	66	3	327	0	100.00%	100%
16S_rRNA::Clostridium-sp-L2-50_Node_15:1043-2254(-)_V3_V4_67_393_includelonghmm	66	3	327	0	100.00%	100%
16S_rRNA::Clostridium-sp-M62-1_Node_18:158199-159726(-)_V3_V4_382_708_includelonghmm	67	1	327	1	100	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_0:440109-441618(-)_V3_V4_366_692_includelonghmm	68	7	327	1	100	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_1:35839-37348(+)_V3_V4_366_692_includelonghmm	68	7	327	0	100.00%	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_0:588572-590081(+)_V3_V4_366_692_includelonghmm	68	7	327	0	100.00%	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_0:594540-596049(+)_V3_V4_366_692_includelonghmm	68	7	327	0	100.00%	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_0:601232-602741(+)_V3_V4_366_692_includelonghmm	68	7	327	0	100.00%	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_0:609142-610651(+)_V3_V4_366_692_includelonghmm	68	7	327	0	100.00%	100%
16S_rRNA::Clostridium-sporogenes-ATCC-15579_Node_1:2220-3729(+)_V3_V4_366_692_includelonghmm	68	7	327	0	100.00%	100%
16S_rRNA::Collinsella-stercoris-DSM-13279_Node_27:169109-170610(-)_V3_V4_362_688_includelonghmm	69	1	327	1	100	100%
16S_rRNA::Coprococcus-comes-ATCC-27758_Node_11:48312-49840(-)_V3_V4_383_709_includelonghmm	70	1	327	1	100	100%
16S_rRNA::Coprococcus-eutactus-ATCC-27759_Node_16:247525-249041(+)_V3_V4_372_698_includelonghmm	71	4	327	1	100	100%
16S_rRNA::Coprococcus-eutactus-ATCC-27759_Node_3:198-1714(+)_V3_V4_372_698_includelonghmm	71	4	327	0	100.00%	100%
16S_rRNA::Coprococcus-eutactus-ATCC-27759_Node_7:839-2324(-)_V3_V4_341_667_includelonghmm	71	4	327	0	100.00%	100%
16S_rRNA::Coprococcus-eutactus-ATCC-27759_Node_19:252990-254280(-)_V3_V4_146_472_includelonghmm	71	4	327	0	100.00%	100%
16S_rRNA::Dorea-formicigenerans-ATCC-27755_Node_1:452485-454012(-)_V3_V4_382_708_includelonghmm	72	6	327	1	100	100%
16S_rRNA::Dorea-formicigenerans-ATCC-27755_Node_2:354461-355988(+)_V3_V4_382_708_includelonghmm	72	6	327	0	100.00%	100%
16S_rRNA::Dorea-formicigenerans-ATCC-27755_Node_10:102300-103827(+)_V3_V4_382_708_includelonghmm	72	6	327	0	100.00%	100%
16S_rRNA::Dorea-formicigenerans-ATCC-27755_Node_1:760899-762426(+)_V3_V4_382_708_includelonghmm	72	6	327	0	100.00%	100%
16S_rRNA::Dorea-formicigenerans-ATCC-27755_Node_0:197373-198900(-)_V3_V4_382_708_includelonghmm	72	6	327	0	100.00%	100%
16S_rRNA::Dorea-formicigenerans-ATCC-27755_Node_9:3-1299(+)_V3_V4_151_477_includelonghmm	72	6	327	0	100.00%	100%
16S_rRNA::Dorea-longicatena-DSM-13814_Node_25:4171-5700(-)_V3_V4_383_709_includelonghmm	73	1	327	1	100	100%
